id,min_batch_size,steps_per_epoch,epochs,accuracy,loss,NDGC@10,Hit@10
0,50,200,40,0.9581107497215271,0.11400125175714493,0.09463854282339129,0.1545
1,100,200,40,0.964625358581543,0.09492846578359604,0.0854403021334476,0.1391
2,50,300,40,0.9618677496910095,0.10288873314857483,0.07121597291807946,0.1143
3,100,300,40,0.9670118689537048,0.08819710463285446,0.05867825823916854,0.0941
4,50,200,60,0.9712900519371033,0.07959482073783875,0.047778002767457424,0.0777
5,100,200,60,0.9670772552490234,0.08785822987556458,0.04061180224734261,0.0647
6,50,300,60,0.9620606303215027,0.1020171269774437,0.02933913769043367,0.0449
7,100,300,60,0.9678474068641663,0.08574554324150085,0.02377629501993229,0.0387
8,50,200,80,0.9719434380531311,0.07689467072486877,0.021384115119916346,0.0349
9,100,200,80,0.9673972129821777,0.08693411201238632,0.016569896917669552,0.0274
10,50,300,80,0.9611688852310181,0.10450908541679382,0.007423384473548311,0.0128
11,100,300,80,0.9672609567642212,0.08677083998918533,0.00702149076120013,0.0126
